p,t
emzfze,the~ DOORPOST
fegicf,390 and~ he~ did~ make~ DRAW.NEAR(Verb) ~him
eobdim,the~ SERVANT ~s
ksat,like~ >~ GO.OUT(Verb)
tsa,she~ will~ GO.OUT(Verb)
lame,to~ BONDWOMAN
imkr,he~ will~ SELL(Verb)
lmkre,393 to~ >~ SELL(Verb) ~her
nkri,FOREIGN
fepde,392 and~ he~ did~ make~ RANSOM(Verb) ~her
iode,391 he~ did~ APPOINT(Verb) ~her
adnie,LORD ~s ~her
iiodne,he~ will~ APPOINT(Verb) ~her
igro,he~ will~ TAKE.AWAY(Verb)
kxfte,RAIMENT ~her
care,REMAINS ~her
infx,he~ will~ FLEE(Verb)
lidf,to~ HAND ~him
tqhnf,you(ms)~ will~ TAKE(Verb) ~him
borme,in~ SUBTLETY
lergf,to~ >~ KILL(Verb) ~him
izd,he~ will~ make~ SIMMER(Verb)
famf,and~ MOTHER ~him
fmke,and~ make~ HIT(Verb) ~ing(ms)
fnmsa,and~ he~ did~ be~ FIND(Verb)
fmkrf,and~ he~ did~ SELL(Verb) ~him
fgnb,and~ STEAL(Verb) ~ing(ms)
fmqll,and~ much~ BELITTLE(Verb) ~ing(ms)
lmckb,to~ LYING.PLACE
bagrp,in~ FIST
babn,in~ STONE
feke,and~ he~ did~ make~ HIT(Verb)
iribn,they(m)~ will~ DISPUTE(Verb) ~must
irpa,he~ will~ much~ HEAL(Verb)
frpa,398 and~ >~ much~ HEAL(Verb)
cbtf,CEASING ~him
fnqe,and~ he~ did~ be~ ACQUIT(Verb)
mcontf,STAVE ~him
fetelk,and~ he~ did~ self~ WALK(Verb)
iqfm,he~ will~ RISE(Verb)
inqm,he~ will~ be~ AVENGE(Verb)
nqm,>~ AVENGE(Verb)
bcbj,in~ the~ STAFF
amtf,BONDWOMAN ~him
ike,he~ will~ make~ HIT(Verb)
iomd,he~ will~ STAND(Verb)
bpllim,in~ JUDGE ~s
ionc,he~ will~ be~ FINE(Verb)
onfc,>~ FINE(Verb)
ildie,BOY ~s ~her
fngpf,and~ they~ did~ SMITE(Verb)
insf,they(m)~ will~ be~ STRUGGLE(Verb)
fntte,and~ you(ms)~ did~ GIVE(Verb) ~&
rgl,FOOT
cn,TOOTH
hbfre,STRIPED.BRUISE
pso,WOUND
kfie,SINGEING
oinf,EYE ~him
iclhnf,he~ will~ much~ SEND(Verb) ~him
fchte,and~ he~ did~ much~ DAMAGE(Verb) ~her
cnf,TOOTH ~him
ipil,he~ will~ make~ FALL(Verb)
ecfr,the~ OX
fbol,and~ MASTER
bcrf,FLESH ~him
igh,he~ will~ GORE(Verb)
bolif,MASTER ~s ~him
femit,and~ he~ did~ make~ DIE(Verb)
icmrnf,he~ will~ SAFEGUARD(Verb) ~him
bbolif,in~ MASTER ~s ~him
fefod,401 and~ he~ did~ be~ make~ WRAP.AROUND(Verb)
mtml,from~ YESTERDAY
ngh,GORER
ifct,he~ will~ SET.DOWN(Verb) ~ed(ms)
pdin,RANSOM.PRICE
kpr,COVERING
fecfr,and~ the~ OX
ladnif,to~ the~ LORD ~s ~him
cqlim,SHEQEL ~s
ikxnf,he~ will~ much~ COVER.OVER(Verb) ~him
ikre,he~ will~ DIG(Verb)
bfr,CISTERN
ipth,he~ will~ OPEN(Verb)
femt,and~ the~ DIE(Verb) ~ing(ms)
lbolif,to~ MASTER ~s ~him
iclm,he~ will~ much~ MAKE.RESTITUTION(Verb)
ihsfn,they(m)~ will~ DIVIDE(Verb) ~must
emt,the~ DIE(Verb) ~ing(ms)
fhsf,and~ they~ did~ DIVIDE(Verb)
igp,he~ will~ SMITE(Verb)
fjbhf,
ignb,
egnb,he~ will~ much~ MAKE.RESTITUTION(Verb)
bmhtrt,to~ ~him
bgnbtf,he~ will~ much~ MAKE.RESTITUTION(Verb)
fnmkr,TWO
zrhe,>~ be~ FIND(Verb)
mcfr,404 and~ he~ did~ much~ BURN(Verb)
egnbe,CATTLE ~her
emsa,VINEYARD
krmf,AT
fmijb,the~ make~ BURN(Verb) ~ing(ms)
mijb,>~ much~ MAKE.RESTITUTION(Verb)
fbor,the~ GRAIN.STALK
boire,OR
ebore,TWO
embor,the~ THIEF
eqme,and~ he~ did~ be~ much~ STEAL(Verb)
gdic,UTENSIL ~s
fnakl,OR
qsim,SILVER
fmsae,COMPANION ~him
klim,MASTER
bmlakt,TWO
fnqrb,UNTIL
ircion,he~ did~ be~ CRACK(Verb)
clme,GIVEN.THAT
ncbr,COMPANION ~him
ejrpe,WITH ~him
ibaef,MASTER ~s ~him
fncbr,WITH ~him
ical,
bckrf,to~ WOMAN
ckir,>~ HURRY(Verb)
imerne,he~ will~ WEIGH(Verb)
fckb,to~ >~ GIVE(Verb) ~her
arce,FATHER ~her
ipte,
ebtflt,you(ms)~ will~ much~ LIVE(Verb)
kmer,NOT
icql,much~ DO.SORCERY(Verb) ~ing(fs)
ltte,
iman,
mkcpe,BEAST
ihrm,IMMIGRANT ~s
eiitm,and~ ORPHAN
grim,WIDOW
tlhsnf,
tfne,
fgr,
tonfn,CRY ~him
fitfm,>~ HEAR(Verb)
soqtf,ORPHAN ~s
isoq,and~ they~ did~ EXIST(Verb)
soq,in~ SWORD
itmim,USURY
fbnikm,UPON ~him
almnft,you(ms)~ will~ PLACE(Verb) ~must
ncikm,415 NOT
fergti,NOT
api,WITH ~you(fs)
fhre,the~ AFFLICTION
nck,to~ ~him
tcimfn,416 the~ SUN
knce,UNTIL
eoni,IF
tlfe,
tcibnf,PROTECTIVE
clmt,GIVEN.THAT
thbl,and~ he~ did~ EXIST(Verb)
hbl,he~ will~ LIE.DOWN(Verb)
hnfn,NOT
fcmoti,and~ CAPTAIN
lorf,
cmltf,
lbde,
bomk,SON ~s ~you(ms)
fncia,FIRSTBORN
tqll,you(ms)~ will~ much~ DELAY(Verb)
tahr,MOTHER ~him
fdmok,he~ will~ EXIST(Verb)
mlatk,DAY ~s
ecmini,to~ the~ DOG
lsank,you(mp)~ will~ EXIST(Verb) ~must
lcrk,SPECIAL
tclkfn,
lklb,
teifn,
leit,to~ >~ EXIST(Verb)
tct,you(ms)~ will~ SET.DOWN(Verb)
cfa,FALSENESS
lejt,to~ >~ make~ EXTEND(Verb)
lnjt,to~ >~ EXTEND(Verb)
lrot,419 to~ DYSFUNCTIONAL ~s
bribf,in~ DISPUTE ~him
tedr,you(ms)~ will~ GIVE.HONOR(Verb)
fdl,and~ HELPLESS
aibk,ATTACK(Verb) ~ing(ms) ~you(ms)
tpgo,you(ms)~ will~ REACH(Verb)
tozb,you(ms)~ will~ LEAVE(Verb)
mozb,from~ >~ LEAVE(Verb)
fhdlt,420 and~ you(ms)~ did~ TERMINATE(Verb)
mcaf,LOAD ~him
cnak,HATE(Verb) ~ing(ms) ~you(ms)
abink,NEEDY ~you(ms)
tje,you(ms)~ will~ make~ EXTEND(Verb)
asdiq,I~ will~ make~ BE.STEADFAST(Verb)
fsdiq,and~ STEADFAST.ONE
fnqi,and~ INNOCENT
trhq,you(ms)~ will~ BE.FAR(Verb)
sdiqim,STEADFAST.ONE ~s
fixlp,and~ he~ will~ much~ TWIST.BACKWARDS(Verb)
pqhim,SEEING ~s
iofr,he~ will~ much~ BLIND(Verb)
echd,the~ BRIBE
fchd,and~ BRIBE
tlhs,you(ms)~ will~ SQUEEZE(Verb)
tbfate,PRODUCTION ~her
arsk,LAND ~you(ms)
tzro,you(ms)~ will~ SOW(Verb)
lzitk,to~ OLIVE ~you(ms)
lkrmk,to~ VINEYARD ~you(ms)
fitrm,and~ REMAINDER ~them(m)
abini,NEEDY ~s
fnjcte,and~ you(ms)~ did~ LEAVE.ALONE(Verb) ~her
tcmjne,you(ms)~ will~ RELEASE(Verb) ~her
fecbiot,and~ the~ SEVENTH
fegr,and~ the~ IMMIGRANT
finpc,and~ he~ will~ BREATHE.DEEPLY(Verb)
fhmrk,and~ DONKEY ~you(ms)
cfrk,OX ~you(ms)
infh,he~ will~ REST(Verb)
tcbt,you(ms)~ will~ CEASE(Verb)
mocik,WORK ~s ~you(ms)
tzkirf,you(mp)~ will~ make~ REMEMBER(Verb)
thg,you(ms)~ will~ HOLD.A.FEAST(Verb)
rglim,FOOT ~s
sfitk,I~ did~ much~ DIRECT(Verb) ~you(ms)
baxpk,425 in~ >~ GATHER(Verb) ~you(ms)
fhg,and~ FEAST
bkfri,FIRSTFRUIT ~s
eqsir,the~ HARVEST
eadn,the~ LORD
zkfrk,MEN ~you(ms)
hgi,FEAST ~me
ilin,he~ will~ STAY.THE.NIGHT(Verb)
zbhi,SACRIFICE ~me
tzbh,you(ms)~ will~ SACRIFICE(Verb)
bhlb,in~ the~ FAT
tbcl,you(ms)~ will~ much~ BOIL(Verb)
admtk,427 GROUND ~you(ms)
eknti,I~ did~ make~ PREPARE(Verb)
flebiak,and~ to~ >~ make~ COME(Verb) ~you(ms)
lcmrk,to~ >~ SAFEGUARD(Verb) ~you(ms)
lpcokm,430 to~ OFFENSE ~you(mp)
fcmo,and~ !(ms)~ HEAR(Verb)
srrik,PRESS.IN(Verb) ~ing(mp) ~you(ms)
fsrti,and~ I~ did~ SMACK(Verb)
faibti,and~ I~ did~ ATTACK(Verb)
adbr,I~ will~ much~ SPEAK(Verb)
fekhdtif,and~ I~ did~ make~ KEEP.SECRET(Verb) ~him
febiak,and~ he~ did~ make~ COME(Verb) ~you(ms)
msbtiem,MONUMENT ~s ~them(m)
tcbr,you(ms)~ will~ much~ CRACK(Verb)
fcbr,and~ >~ much~ CRACK(Verb)
terxm,you(ms)~ will~ much~ CAST.DOWN(Verb) ~them(m)
erx,>~ much~ CAST.DOWN(Verb)
kmociem,like~ WORK ~s ~them(m)
laleiem,to~ Elohiym ~them(m)
mqrbk,from~ INSIDE ~you(ms)
mhle,SICKNESS
fexrti,and~ I~ did~ make~ TURN.ASIDE(Verb)
mimik,WATER ~s2 ~you(ms)
lhmk,BREAD ~you(ms)
fbrk,and~ he~ did~ much~ KNEEL(Verb)
fobdtm,and~ you(mp)~ will~ SERVE(Verb)
amla,I~ will~ much~ FILL(Verb)
barsk,in~ LAND ~you(ms)
foqre,and~ STERILE
mckle,much~ BE.CHILDLESS(Verb) ~ing(fs)
orp,NECK
femti,and~ I~ did~ CONFUSE(Verb)
aimti,TERROR ~me
mlpnik,from~ to~ FACE ~s ~you(ms)
fgrce,and~ she~ did~ much~ CAST.OUT(Verb)
esroe,the~ HORNET
cmme,DESOLATE
agrcnf,I~ will~ much~ CAST.OUT(Verb) ~him
fnhlt,and~ you(ms)~ did~ INHERIT(Verb)
tpre,you(ms)~ will~ REPRODUCE(Verb)
fgrctmf,and~ you(ms)~ did~ much~ CAST.OUT(Verb) ~them(m)
fmmdbr,and~ from~ WILDERNESS
flaleiem,and~ to~ Elohiym ~them(m)
ihjiaf,they(m)~ will~ make~ FAIL(Verb)
fecthfitm,and~ you(mp)~ did~ self~ BEND.DOWN(Verb)
fabiefa,and~ Aviyhu
igcf,they(m)~ will~ DRAW.NEAR(Verb)
fngc,and~ he~ did~ be~ DRAW.NEAR(Verb)
lcnim,to~ TWO
fctim,and~ TWO
fiktb,and~ he~ will~ WRITE(Verb)
prim,BULL ~s
nori,YOUNG.MAN ~s
zrq,he~ did~ SPRINKLE(Verb)
fhsi,and~ HALF
bagnt,in~ the~ GOBLET ~s
hsi,HALF
fncmo,and~ we~ will~ HEAR(Verb)
ljer,to~ CLEANLINESS
fkosm,and~ like~ BONE
expir,442 the~ LAPIS.LAZULI
kmoce,like~ WORK
ftht,and~ UNDER
fihzf,and~ they(m)~ will~ PERCEIVE(Verb)
asili,LEADER ~s
lefrtm,to~ >~ make~ THROW(Verb) ~them(m)
ktbti,I~ did~ WRITE(Verb)
femsfe,and~ the~ DIRECTIVE
fetfre,and~ the~ TEACHING
lht,SLAB ~s
mcrtf,much~ MINISTER(Verb) ~ing(ms) ~him
fiefco,and~ Yehoshu'a
igc,444 he~ will~ DRAW.NEAR(Verb)
ncfb,we~ will~ TURN.BACK(Verb)
ezqnim,the~ BEARD ~s
fikxef,and~ he~ will~ much~ COVER.OVER(Verb) ~him
brac,in~ HEAD
kac,like~ FIRE
fmrae,and~ APPEARANCE
trfmti,OFFERING ~me
idbnf,he~ will~ OFFER.WILLINGLY(Verb) ~him
trfme,OFFERING
fnhct,and~ COPPER
etrfme,the~ OFFERING
fozim,and~ GOAT ~s
ftflot,and~ KERMES
fargmn,and~ PURPLE
ftklt,and~ BLUE
cjim,ACACIA ~s
fosi,and~ TREE ~s
thcim,BADGER ~s
fort,and~ SKIN ~s
madmim,be~ much~ BE.RED(Verb) ~ing(mp)
exmim,the~ AROMATIC.SPICE ~s
flqjrt,and~ to~ INCENSE.SMOKE
emche,the~ OINTMENT
lcmn,to~ OIL
lmar,to~ the~ LUMINARY
flhcn,and~ to~ the~ BREASTPLATE
lapd,to~ the~ EPHOD
mlaim,INSTALLATION ~s
fabni,and~ STONE ~s
cem,ONYX
abni,STONE ~s
btfkm,in~ MIDST ~them(m)
fcknti,and~ I~ did~ DWELL(Verb)
klif,UTENSIL ~s ~him
tbnit,PATTERN
emckn,the~ DWELLING
qmtf,HEIGHT ~him
rhbf,WIDTH ~him
amtim,FOREARM ~s2
arfn,BOX
zr,MOLDING
tspnf,you(ms)~ will~ much~ OVERLAY(Verb) ~him
jefr,CLEAN
fspit,and~ you(ms)~ did~ much~ OVERLAY(Verb)
slof,RIB ~him
jbot,RING ~s
pomtif,FOOTSTEP ~s ~him
fisqt,and~ you(ms)~ did~ POUR.DOWN(Verb)
bdi,STRAND ~s
earn,the~ BOX
slot,RIB ~s
bjbot,in~ the~ RING ~s
ebdim,the~ STRAND ~s
ixrf,they(m)~ will~ TURN.ASIDE(Verb)
arke,LENGTH ~her
kprt,LID
ekprt,the~ LID
qsft,EXTREMITY ~s
mcni,from~ TWO
mqce,BEATEN.WORK
krbim,KERUV ~s
qsftif,EXTREMITY ~s ~him
fkrfb,and~ KERUV
krfb,KERUV
bknpiem,in~ WING ~s ~them(m)
xkkim,FENCE.AROUND(Verb) ~ing(mp)
lmole,to~ UPWARD ~unto
knpim,WING ~s2
prci,SPREAD.OUT(Verb) ~ing(mp)
asfe,I~ will~ much~ DIRECT(Verb)
fdbrti,and~ I~ did~ much~ SPEAK(Verb)
fnfodti,and~ I~ did~ be~ APPOINT(Verb)
clhn,TABLE
lmxgrtf,to~ RIM ~him
jph,HAND.SPAN
mxgrt,RIM
larbo,to~ FOUR
epat,the~ EDGE ~s
ejbot,the~ RING ~s
eclhn,the~ TABLE
lbdim,448 to~ STRAND ~s
lbtim,to~ HOUSE ~s
emxgrt,the~ RIM
lomt,to~ ALONGSIDE
fnca,and~ he~ did~ be~ LIFT.UP(Verb)
ixk,he~ will~ be~ make~ POUR(Verb)
fmnqitif,and~ SACRIFICIAL.BOWL ~s ~him
fqcftif,449 and~ JUG ~s ~him
fkptif,and~ PALM ~s ~him
qortif,PLATTER ~s ~him
tmid,CONTINUALLY
fprhie,and~ BUD ~s ~her
kptrie,KNOB ~s ~her
gbioie,BOWL ~s ~her
fqne,and~ STALK ~her
irke,MIDSECTION ~her
emnfre,the~ LAMPSTAND
tioce,she~ will~ be~ DO(Verb)
mnrt,LAMPSTAND
msde,from~ SIDE ~her
mnre,LAMPSTAND
qni,STALK ~s
fclce,and~ THREE
msdie,from~ SIDE ~s ~her
fcce,and~ SIX
emnre,the~ LAMPSTAND
eqnim,the~ STALK ~s
lcct,to~ SIX
fprh,and~ BUD
kptr,KNOB
mcqdim,be~ much~ BE.ALMOND.SHAPED(Verb) ~ing(mp)
gboim,BOWL ~s
fbmnre,and~ in~ the~ LAMPSTAND
fkptr,and~ KNOB
fqntm,and~ STALK ~s ~them(m)
kptriem,KNOB ~s ~them(m)
feair,454 and~ he~ did~ make~ LIGHT(Verb)
nrtie,LAMP ~s ~her
fmhttie,and~ FIRE.PAN ~s ~her
fmlqhie,and~ TONG ~s ~her
eklim,the~ UTENSIL ~s
btbnitm,in~ PATTERN ~them(m)
hcb,THINK(Verb) ~ing(ms)
ftlot,and~ KERMES
mczr,be~ make~ TWIST.TOGETHER(Verb) ~ing(ms)
iriot,TENT.WALL ~s
eiriot,the~ TENT.WALL ~s
mde,MEASUREMENT
eirioe,the~ TENT.WALL
bame,in~ the~ FOREARM
frhb,and~ WIDTH
ahte,SISTER ~her
hbrt,COUPLE(Verb) ~ing(fp)
bmhbrt,in~ the~ JOINT
eqisfne,the~ OUTER
bcpt,in~ LIP
bhbrt,in~ the~ COUPLING
tklt,BLUE
llat,LOOP ~s
ellat,the~ LOOP ~s
mqbilt,make~ RECEIVE(Verb) ~ing(fp)
birioe,in~ the~ TENT.WALL
bqrxim,in~ the~ HOOK ~s
fhbrt,and~ you(ms)~ did~ much~ COUPLE(Verb)
qrxi,HOOK ~s
octi,ONE
lael,456 to~ TENT
locti,to~ ONE
eccit,the~ SIXTH
fkplt,and~ you(ms)~ did~ DOUBLE.OVER(Verb)
ehbrt,the~ COUPLING
eqisne,the~ OUTER
bllat,in~ the~ LOOP ~s
eqrxim,the~ HOOK ~s
txrh,you(ms)~ will~ OVERHANG(Verb)
eodpt,the~ EXCEED(Verb) ~ing(fs)
biriot,in~ TENT.WALL ~s
fxrh,and~ OVERHANG
lkxtf,to~ >~ much~ COVER.OVER(Verb) ~him
sdi,SIDE ~s
xrfh,OVERHANG(Verb) ~ed(ms)
bark,in~ LENGTH
bodp,in~ the~ EXCEED(Verb) ~ing(ms)
feame,and~ the~ FOREARM
fmkxe,and~ ROOF.COVERING
omdim,STAND(Verb) ~ing(mp)
lmckn,to~ the~ DWELLING
eqrcim,the~ BOARD ~s
eqrc,the~ BOARD
rhb,WIDTH
qrci,BOARD ~s
mclbt,be~ much~ JOINED.TOGETHER(Verb) ~ing(fp)
lqrc,457 to~ the~ BOARD
timne,SOUTHWARD ~unto
ngbe,SOUTH ~unto
lpat,to~ EDGE
qrc,BOARD
idtif,HAND ~s ~him
lcti,to~ TWO
adnim,FOOTING ~s
spfn,NORTH
flslo,and~ to~ RIB
adniem,FOOTING ~s ~them(m)
qrcim,BOARD ~s
flirkti,and~ to~ FLANK ~s2
birktim,in~ the~ FLANK ~s2
lmqsot,to~ CORNER.POST ~s
emqsot,the~ BUTTRESS ~s
lcniem,to~ TWO ~them(m)
fihdf,and~ TOGETHER
mlmje,from~ to~ BENEATH
tamm,BE.DOUBLE(Verb) ~ing(mp)
fadniem,and~ FOOTING ~s ~them(m)
lqrci,to~ BOARD ~s
brihm,WOOD.BAR ~s
lirktim,to~ the~ FLANK ~s2
eqse,the~ EXTREMITY
fbrqt,and~ EMERALD
mbrh,make~ FLEE.AWAY(Verb) ~ing(ms)
etikn,the~ MIDDLEMOST
febrih,and~ the~ WOOD.BAR
ebrihm,the~ WOOD.BAR ~s
lbrihm,462 to~ the~ WOOD.BAR ~s
jbotiem,RING ~s ~them(m)
tspe,you(ms)~ will~ much~ OVERLAY(Verb)
erait,you(ms)~ did~ be~ make~ SEE(Verb)
kmcpjf,like~ DECISION ~him
feqmt,and~ you(ms)~ did~ make~ RISE(Verb)
prkt,TENT.CURTAIN
ffiem,and~ PEG ~s ~them(m)
mspim,be~ much~ OVERLAY(Verb) ~ing(ms)
omfdi,PILLAR ~s
eqdcim,the~ SPECIAL ~s
eqdc,the~ SPECIAL
eprkt,the~ TENT.CURTAIN
febdile,and~ she~ did~ make~ SEPARATE(Verb)
eodft,the~ EVIDENCE
lprkt,to~ the~ TENT.CURTAIN
feclhn,and~ the~ TABLE
nkh,IN.FRONT
rqm,EMBROIDER(Verb) ~ing(ms)
mxk,CANOPY
lmxk,to~ the~ CANOPY
rbfo,BE.SQUARE(Verb) ~ed(ms)
qrntif,HORN ~s ~him
pntif,CORNER ~s ~him
fmhttif,and~ FIRE.PAN ~s ~him
fmzlgtif,and~ FORK ~s ~him
fmzrqtif,and~ SPRINKLING.BASIN ~s ~him
fioif,and~ SHOVEL ~s ~him
ldcnf,to~ >~ much~ MAKE.FAT(Verb) ~him
xirtif,POT ~s ~him
erct,the~ NETTING
rct,NETTING
mkbr,GRATE
krkb,OUTER.RIM
lmzbh,to~ the~ ALTAR
bdim,STRAND ~s
bcat,in~ >~ LIFT.UP(Verb)
bdif,STRAND ~s ~him
fefba,and~ he~ did~ be~ make~ COME(Verb)
nbfb,BORE.OUT(Verb) ~ed(ms)
lpae,to~ the~ EDGE
lhsr,to~ the~ COURTYARD
qloim,468 SLING ~s
ngb,SOUTH
hsr,COURTYARD
fhcqiem,and~ BINDER ~s ~them(m)
eomdim,the~ PILLAR ~s
ffi,and~ PEG ~s
fomdif,and~ PILLAR ~s ~him
fomdf,and~ PILLAR ~s ~him
omdiem,PILLAR ~s ~them(m)
ehsr,the~ COURTYARD
mzrhe,SUNRISE ~unto
lktp,to~ the~ SHOULDER.PIECE
flktp,and~ to~ the~ SHOULDER.PIECE
flcor,and~ to~ GATE
mhcqim,be~ much~ ATTACH(Verb) ~ing(mp)
fqme,472 and~ HEIGHT
bhmcim,in~ the~ FIVE ~s
itdt,TENT.PEG ~s
itdtif,TENT.PEG ~s ~him
obdtf,SERVICE ~him
nr,473 LAMP
leolt,to~ >~ make~ GO.UP(Verb)
lmafr,to~ the~ LUMINARY
ktit,SMASHED
zk,REFINED
tsfe,you(ms)~ will~ much~ DIRECT(Verb)
morb,from~ EVENING
iork,he~ will~ ARRANGE(Verb)
faitmr,and~ Iytamar
lkenf,to~ >~ much~ ADORN(Verb) ~him
fltpart,and~ to~ DECORATION
lkbfd,to~ ARMAMENT
hkme,474 SKILL
mlatif,I~ did~ much~ FILL(Verb) ~him
hkmi,SKILLED.ONE ~s
flbnif,and~ to~ SON ~s ~him
fabnj,and~ SASH
msnpt,TURBAN
tcbs,WOVEN.MATERIAL
fktnt,and~ TUNIC
fmoil,and~ CLOAK
fapfd,and~ EPHOD
hcn,BREASTPLATE
ebgdim,the~ GARMENT ~s
ecc,the~ LINEN
tflot,KERMES
eargmn,the~ PURPLE
etklt,the~ BLUE
eapd,the~ EPHOD
fhbr,and~ he~ did~ be~ much~ COUPLE(Verb)
ktpt,SHOULDER.PIECE ~s
kmocef,like~ WORK ~him
apdtf,EPHOD ~him
fhcb,and~ DECORATIVE.BAND
fptht,and~ you(ms)~ did~ much~ OPEN(Verb)
ktfldtm,like~ BIRTHING ~s ~them(m)
enftrim,the~ be~ LEAVE.BEHIND(Verb) ~ing(mp)
ecce,the~ SIX
mcmtm,from~ TITLE ~s ~them(m)
mcbsft,PLAIT ~s
mxbt,be~ make~ GO.AROUND(Verb) ~ing(fp)
cmt,TITLE ~s
tpth,you(ms)~ will~ much~ OPEN(Verb)
htm,SEAL
ptfhi,OPEN(Verb) ~ed(mp)
lzkrn,to~ REMEMBRANCE
ktpif,SHOULDER.PIECE ~s ~him
cmftm,TITLE ~s ~them(m)
zkrn,REMEMBRANCE
mcbst,PLAIT ~s
emcbst,the~ PLAIT ~s
eobtt,the~ THICK.WOVEN ~s
crcrt,CHAIN ~s
obt,THICK.WOVEN
mgblt,BOUNDARY ~s
tocnf,you(ms)~ will~ DO(Verb) ~him
apd,EPHOD
fzrt,and~ FINGER.SPAN
zrt,FINGER.SPAN
kpfl,DOUBLE.OVER(Verb) ~ed(ms)
ejfr,the~ ROW
pjde,OLIVINE
jfr,ROW
jfrim,ROW ~s
fmlat,and~ you(ms)~ did~ much~ FILL(Verb)
fielm,and~ FLINT
xpir,LAPIS.LAZULI
npk,TURQUOISE
fejfr,and~ the~ ROW
fahlme,and~ AMETHYST
lcm,OPAL
bmlfatm,in~ SETTING ~s ~them(m)
mcbsim,be~ much~ WEAVE(Verb) ~ing(mp)
ficpe,and~ JASPER
fcem,and~ ONYX
trcic,TOPAZ
hftm,SEAL
feabnim,and~ the~ STONE ~s
gblt,EDGING
crct,CHAIN ~s
ehcn,the~ BREASTPLATE
ejboft,the~ RING ~s
jboft,RING ~s
obtt,THICK.WOVEN ~s
ktpft,SHOULDER.PIECE ~s
emcbsft,the~ PLAIT ~s
eapfd,the~ EPHOD
cptf,LIP ~him
lhcb,to~ DECORATIVE.BAND
mhbrtf,JOINT ~him
mmfl,from~ FOREFRONT
izh,he~ will~ be~ LOOSEN(Verb)
bptil,in~ CORD
mjbotf,RING ~s ~him
firkxf,and~ they(m)~ will~ TIE.ON(Verb)
emcpj,the~ DECISION
bhcn,in~ BREASTPLATE
etmim,the~ Tumiym
eafrim,the~ Uriym
klil,ENTIRELY
moil,CLOAK
iqro,he~ will~ be~ TEAR(Verb)
thra,COLLAR
arg,BRAID(Verb) ~ing(ms)
lpif,to~ MOUTH ~him
btfkf,in~ MIDST ~him
fpomni,and~ BELL ~s
cflif,HEM ~s ~him
rmni,POMEGRANATE ~s
emoil,the~ CLOAK
cfli,HEM ~s
frmfn,and~ POMEGRANATE
pomn,BELL
fbsatf,and~ in~ >~ GO.OUT(Verb) ~him
qflf,VOICE ~him
lcrt,to~ >~ much~ MINISTER(Verb)
sis,BLOSSOM
emsnpt,the~ TURBAN
ptil,CORD
lrsfn,to~ SELF-WILL
mshf,FOREHEAD ~him
qdciem,SPECIAL ~s ~them(m)
iqdicf,they(m)~ will~ make~ SET.APART(Verb)
msh,FOREHEAD
fcbst,and~ you(ms)~ did~ much~ WEAVE(Verb)
fmgboft,and~ HEADDRESS ~s
abnjim,SASH ~s
fkenf,and~ they~ did~ much~ ADORN(Verb)
fqdct,488 and~ you(ms)~ did~ much~ SET.APART(Verb)
fmcht,and~ you(ms)~ did~ SMEAR(Verb)
felbct,and~ you(ms)~ did~ make~ WEAR(Verb)
irkim,MIDSECTION ~s
mmtnim,from~ WAIST ~s
orfe,NAKEDNESS
lkxft,to~ >~ much~ COVER.OVER(Verb)
bd,STRAND
mknxi,UNDERGARMENT ~s
flzrof,and~ to~ SEED ~him
icaf,they(m)~ will~ LIFT.UP(Verb)
bgctm,in~ >~ DRAW.NEAR(Verb) ~them(m)
bbam,in~ >~ COME(Verb) ~them(m)
tmimm,WHOLE ~s
failm,and~ BUCK ~s
pr,BULL
lken,to~ >~ much~ ADORN(Verb)
lqdc,to~ >~ much~ SET.APART(Verb)
bcmn,in~ the~ OIL
mchim,SMEAR(Verb) ~ed(mp)
frqiqi,and~ THIN.BREAD ~s
blflt,MIX(Verb) ~ed(fp)
fhlt,and~ PIERCED.BREAD ~s
eailm,the~ BUCK ~s
bxl,in~ the~ WICKER.BASKET
feqrbt,and~ you(ms)~ did~ make~ COME.NEAR(Verb)
xl,WICKER.BASKET
frhst,and~ you(ms)~ did~ BATHE(Verb)
tqrib,you(ms)~ will~ make~ COME.NEAR(Verb)
bhcb,in~ DECORATIVE.BAND
fapdt,and~ you(ms)~ did~ GIRD(Verb)
nzr,DEDICATION
felbctm,and~ you(ms)~ did~ make~ WEAR(Verb) ~them(m)
lhqt,to~ CUSTOM
mgbot,HEADDRESS ~s
fhbct,and~ you(ms)~ did~ SADDLE(Verb)
abnj,SASH
fhgrt,and~ you(ms)~ did~ GIRD.UP(Verb)
idiem,HAND ~s2 ~them(m)
fxmk,and~ he~ did~ SUPPORT(Verb)
fchjt,and~ you(ms)~ did~ SLAY(Verb)
ixfd,BOTTOM.BASE
tcpk,you(ms)~ will~ POUR.OUT(Verb)
basbok,in~ FINGER ~you(ms)
qrnt,HORN ~s
mdm,from~ BLOOD
emzbhe,492 the~ ALTAR ~unto
feqjrt,and~ you(ms)~ did~ make~ BURN.INCENSE(Verb)
olien,UPON ~them(f)
ehlb,the~ FAT
eklit,the~ KIDNEY ~s
eitrt,the~ LOBE
tcrp,you(ms)~ will~ CREMATE(Verb)
prcf,DUNG ~him
orf,SKIN ~him
fxmkf,and~ they~ did~ SUPPORT(Verb)
fzrqt,and~ you(ms)~ did~ SPRINKLE(Verb)
